Abarema obovata	Fabaceae		Obovate abarema			
Abelia biflora	Caprifoliaceae		ulleungdo abelia			
Abelia chinensis	Caprifoliaceae			Chinesische Abelie		
Abelia dielsii	Caprifoliaceae		pedunculate abelia			
Abelia floribunda	Caprifoliaceae			Abelie		Erdkrönchen
Abelia integrifolia	Caprifoliaceae		entire-leaf abelia			
Abelia mosanensis	Caprifoliaceae		maengsan abelia	Koreanische Abelie		Sweet Abelia
Abelia serrata	Caprifoliaceae		dwarf abelia			
Abelia spathulata	Caprifoliaceae		spatulate-leaf abelia			
Abelia taihyonii	Caprifoliaceae		Abelia Tyaihyoni			
Abelia tyaihyoni	Caprifoliaceae		Taihyun's abelia			
Abeliophyllum distichum	Oleaceae		miseonnamu			White Forsythia
Abelmoschus esculentus	Malvaceae	gombo	lady's finger	Okra	Gombo	Bahmia~calou en Guyane~Corne grecque~Okraschote~abelmosco commestibile~abelmosco esculento
Abelmoschus ficulneus	Malvaceae		Native Rosella			White Wild Musk Mallow
Abelmoschus manihot	Malvaceae		abika	Maniok-Bisameibisch		hibiscus manihot~sunset hibiscus~sunset muskmallow
Abelmoschus moschatus	Malvaceae	ambrette	musk okra		Abelmosco	rose mallow~musk mallow~abelmosk~annual hibiscus~muskdana~ornamental okra
Abies alba	Pinaceae	Sapin Blanc	Silver Fir	Weiß-Tanne	Abete bianco	Sapin argenté~Sapin commun~Sapin noir~Sapin pectiné~Vuargne~Weißtanne
Abies amabilis	Pinaceae	Sapin gracieux	Pacific Silver Fir	Purpur-Tanne		silver fir~white fir~red fir~Amabilis fir~Cascades fir~lovely fir
Abies arizonica	Pinaceae		Corkbark Fir			
Abies balsamea	Pinaceae	Sapin baumier	Balsam Fir	Balsam-Tanne		Sapin balsamier~balm of Gilead~Canadian balsam fir~fir balsam
Abies beshanzuensis	Pinaceae		Baishan Fir			
Abies bifolia	Pinaceae		Rocky Mountains Subalpine Fir			
Abies bracteata	Pinaceae	Sapin de Sainte-Lucie	Bristlecone Fir	Grannen-Tanne	Abete dai coni bratteati	Sapin de Santa Lucia~Bracteata~Grannentanne~Santa-Lucia-Tanne
Abies cephalonica	Pinaceae	Sapin de Céphalonie	Greek Fir	Griechische Tanne	abete greco	Kefalonische Tanne~abeti greci~Meyer's dwarf
Abies chengii	Pinaceae		Cheng's Fir			
Abies chensiensis	Pinaceae		Shensi Fir	Schensi-Tanne		
Abies cilicica	Pinaceae		Cilician Fir	Kilikische Tanne		Cilicica fir~Syrian fir~Taurus fir
Abies concolor	Pinaceae	Sapin du Colorado	White Fir	Kolorado-Tanne		Sapin bleu du Colorado~Colorado-Tanne~Coloradotanne~Grau-Tanne~Grautanne~Koloradotanne
Abies delavayi	Pinaceae		Delavay's Fir	Delavays Tanne	Abete di Delavay	Yunnan-Tanne
Abies densa	Pinaceae		Bhutan Fir			Sikkim Fir
Abies durangensis	Pinaceae		Durango Fir			
Abies equi-trojani	Pinaceae			Troja-Tanne		Kleinasiatische Tanne~Westtürkische Tanne
Abies fabri	Pinaceae		Faber’s fir			
Abies fanjingshanensis	Pinaceae		Fanjingshan fir			
Abies fargesii	Pinaceae		Farges' Fir	Farges Tanne		
Abies firma	Pinaceae		Momi Fir	Momi-Tanne		
Abies flinckii	Pinaceae		Michoacán Fir			
Abies fordei	Pinaceae		Tibetan Silver Fir			
Abies forrestii	Pinaceae		Forrest's Fir			
Abies fraseri	Pinaceae	Sapin de Fraser	Fraser's Fir	Fraser-Tanne		Frasers Tanne~Frasertanne~Fraser fir
Abies grandis	Pinaceae	Sapin de Vancouver	Grand Fir	Küsten-Tanne	Abete di Vancouver	Große Küstentanne~Küstentanne~Riesen-Tanne~Riesentanne~coast grand fir~giant fir
Abies guatemalensis	Pinaceae	Sapin du Guatemala	Guatemalan fir	Guatemala-Tanne		
Abies hickelii	Pinaceae		Hickel's Fir			
Abies holophylla	Pinaceae		Manchurian Fir	Mandschurische Tanne		Needle fir
Abies homolepis	Pinaceae		Nikko fir	Nikko-Tanne		
Abies jaliscana	Pinaceae		Jalisco Fir			
Abies kawakamii	Pinaceae	Sapin de Taiwan	Taiwan Fir	Formosa-Tanne		
Abies koreana	Pinaceae	Sapin de Corée	Korean Fir	Korea-Tanne		
Abies lasiocarpa	Pinaceae	Sapin subalpin	Alpine Fir	Felsengebirgs-Tanne		Felsen-Tanne~Felsengebirgstanne~Felsentanne~Subalpine Fir
Abies lowiana	Pinaceae		Sierra White Fir			
Abies magnifica	Pinaceae	Sapin rouge	Red Fir	Pracht-Tanne		silvertip fir
Abies mariesii	Pinaceae		Maries's Fir	Maries-Tanne		
Abies nebrodensis	Pinaceae		Sicilian fir	Nebrodi-Tanne	Abete dei Nèbrodi	
Abies nephrolepis	Pinaceae	Sapin de Khinghan	Hinggan Fir	Ostsibirische Tanne		Khingan fir~East Siberian Fir~Khinghan Fir
Abies nordmanniana	Pinaceae	Sapin de Nordmann	Caucasian Fir	Nordmann-Tanne	Abete del Caucaso	Nordmann~Sapin du Caucase~Sapin Nordmann~Kaukasus-Tanne~Nordmanns Tanne~Nordmanntanne
Abies numidica	Pinaceae	Sapin d'Algerie	Algerian Fir	Numidische Tanne	Abete di Algeria	Sapin de babors~Sapin de numidie~Algier-Tanne~Algerian Silver Fir
Abies pindrow	Pinaceae		Pindrow Fir	Pindrow-Tanne		West Himalayan Fir
Abies pinsapo	Pinaceae	Sapin d'Andalousie	Spanish Fir	Spanische Tanne	Abete di Spagna	Igeltanne~Pinsapo-Tanne
Abies procera	Pinaceae	Sapin noble	noble fir	Edel-Tanne		Sapin de l'Orégon~Edeltanne~Abies procera 'Glauca'~Abies procera ‘Glauca’~Blaue Edel-Tanne~Pazifische Edel-Tanne
Abies recurvata	Pinaceae		Min fir	Min-Tanne		
Abies religiosa	Pinaceae		Oyamel Fir	Heilige Tanne		Sacred Fir
Abies sachalinensis	Pinaceae	Sapin de Sakhaline	Sakhalin Fir	Sachalin-Tanne		
Abies shastensis	Pinaceae		Shasta red fir			
Abies sibirica	Pinaceae	Sapin de Sibérie	Siberian Fir	Sibirische Tanne		
Abies spectabilis	Pinaceae		Himalayan Fir	Himalaya-Tanne		Himalaja-Tanne~Webb Fir~Himalayan siver fir
Abies squamata	Pinaceae		Flaky Fir	Schuppenrindige Tanne		
Abies veitchii	Pinaceae	Sapin de Veitch	Veitch Fir	Veitchs Tanne		Veitch-Tanne~Veitch's Fir~Veitch's silver-fir
Abies vejarii	Pinaceae		Vejar's Fir			
Abies yuanbaoshanensis	Pinaceae		Yuanbao Shan Fir			Yuanbaoshan fir
Abies ziyuanensis	Pinaceae		Zhiyuan fir			Ziyuan Fir
Abies ×sibirico-nephrolepis	Pinaceae		Abies ×sibiriconephrolepis			
Abietinella abietina	Thuidiaceae		abietinella moss			Wiry Fern Moss
Abildgaardia ovata	Cyperaceae		flatspike sedge			
Abronia alpina	Nyctaginaceae		Ramshaw Meadows sand verbena			Ramshaw Meadows sand-verbena
Abronia ameliae	Nyctaginaceae		Amelia's sand verbena			heart's delight
Abronia ammophila	Nyctaginaceae		Wyoming sand verbena			Yellowstone sand verbena
Abronia angustifolia	Nyctaginaceae		purple sand verbena			
Abronia anzuetoi	Nyctaginaceae		Anzuetoi arboreal alligator lizard			
Abronia argillosa	Nyctaginaceae		clay sand verbena			
Abronia aurita	Nyctaginaceae		Cope's arboreal alligator lizard			
Abronia bigelovii	Nyctaginaceae		Galisteo sand verbena			
Abronia bogerti	Nyctaginaceae		Bogert's Arboreal Alligator Lizard			
Abronia bolackii	Nyctaginaceae		Bolack's sand verbena			
Abronia campbelli	Nyctaginaceae		Campbell's Alligator Lizard			
Abronia carletonii	Nyctaginaceae		Carleton's sand verbena			
Abronia chiszari	Nyctaginaceae		Chiszar's Arboreal Alligator Lizard			
Abronia elliptica	Nyctaginaceae		fragrant white sand verbena			
Abronia fragrans	Nyctaginaceae		snowball sand verbena			
Abronia frosti	Nyctaginaceae		Frost's arboreal alligator lizard			Frost’s Arboreal Alligator Lizard
Abronia fuscolabialis	Nyctaginaceae		Mount Zempoaltepec Alligator Lizard			
Abronia gaiophantasma	Nyctaginaceae		Brilliant arboreal alligator lizard			
Abronia gracilis	Nyctaginaceae		slender sand verbena			
Abronia graminea	Nyctaginaceae		Terrestrial Arboreal Alligator Lizard			
Abronia insularis	Nyctaginaceae		island sand verbena			
Abronia latifolia	Nyctaginaceae		coastal sand verbena			
Abronia leurolepis	Nyctaginaceae		Smoothback Arboreal Alligator Lizard			
Abronia lythrochila	Nyctaginaceae		Red-lipped Arboreal Alligator Lizard			
