Aiphanes horrida
Albuca spiralis
Amydrium medium
Asplenium bulbiferum
Bowiea volubilis
Conophytum bilobum
Dioscorea elephantipes
Drosera rotundifolia
Haworthia truncata
Kalanchoe thyrsiflora
Lasia spinosa
Monstera dubia
Monstera pinnatipartita
Monstera siltepecana
Monstera tuberculata
Nertera granadensis
Oxalis megalorrhiza
Pachypodium geayi
Peperomia maculosa
Peperomia tetraphylla
Philodendron pedatum
Philodendron squamiferum
Philodendron verrucosum
Pinguicula moranensis
Pothos chinensis
Pothos scandens
Remusatia vivipara
Rhaphidophora decursiva
Rhaphidophora hayi
Rhipsalis paradoxa
Sprekelia formosissima
Typhonium blumei
Zygopetalum maculatum
Coleus australis
Kohleria hirsuta
