nom_demande	verdict	cle_ou_accepte	note
Monstera deliciosa	EXPOSEE		déjà servie par Iris 8
Monstera adansonii	EXPOSEE		déjà servie par Iris 8
Monstera obliqua	COLLECTEE		dans plants.csv, entraînée v8, exportable
Monstera dubia	A_COLLECTER	2868179	espèce acceptée, clé GBIF
Monstera standleyana	A_COLLECTER	2868231	espèce acceptée, clé GBIF
Monstera siltepecana	A_COLLECTER	2868229	espèce acceptée, clé GBIF
Monstera esqueleto	PAS_ESPECE	RANG GENUS (Monstera Adans.) conf=94	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Monstera subpinnata	A_COLLECTER	2868129	espèce acceptée, clé GBIF
Monstera pinnatipartita	A_COLLECTER	2868226	espèce acceptée, clé GBIF
Monstera tuberculata	A_COLLECTER	2868210	espèce acceptée, clé GBIF
Philodendron hederaceum	EXPOSEE		déjà servie par Iris 8
Philodendron erubescens	EXPOSEE		déjà servie par Iris 8
Philodendron birkin	PAS_ESPECE	RANG GENUS (Philodendron Schott) conf=92	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Philodendron gloriosum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Philodendron verrucosum	A_COLLECTER	2871089	espèce acceptée, clé GBIF
Philodendron melanochrysum	A_COLLECTER	2871241	espèce acceptée, clé GBIF
Philodendron squamiferum	A_COLLECTER	2870698	espèce acceptée, clé GBIF
Philodendron pedatum	A_COLLECTER	2870914	espèce acceptée, clé GBIF
Philodendron xanadu	SYNONYME	SYNONYME-> [9669385]	résoudre vers le nom accepté avant collecte
Philodendron bipinnatifidum	EXPOSEE		déjà servie par Iris 8
Philodendron brandtianum	A_COLLECTER	2870671	espèce acceptée, clé GBIF
Philodendron atabapoense	A_COLLECTER	2871146	espèce acceptée, clé GBIF
Philodendron billietiae	A_COLLECTER	2870818	espèce acceptée, clé GBIF
Philodendron burle-marxii	A_COLLECTER	2871159	espèce acceptée, clé GBIF
Philodendron hastatum	A_COLLECTER	2871100	espèce acceptée, clé GBIF
Philodendron micans	SYNONYME	SYNONYME-> [7228286]	résoudre vers le nom accepté avant collecte
Philodendron patriot	A_COLLECTER	6310060	espèce acceptée, clé GBIF
Philodendron rugosum	A_COLLECTER	2870871	espèce acceptée, clé GBIF
Philodendron tortum	A_COLLECTER	2870881	espèce acceptée, clé GBIF
Philodendron tripartitum	A_COLLECTER	2870748	espèce acceptée, clé GBIF
Epipremnum aureum	EXPOSEE		déjà servie par Iris 8
Epipremnum pinnatum	EXPOSEE		déjà servie par Iris 8
Epipremnum amplissimum	A_COLLECTER	2868312	espèce acceptée, clé GBIF
Scindapsus pictus	EXPOSEE		déjà servie par Iris 8
Scindapsus treubii	A_COLLECTER	2873707	espèce acceptée, clé GBIF
Scindapsus officinalis	A_COLLECTER	2873716	espèce acceptée, clé GBIF
Anthurium crystallinum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Anthurium clarinervium	COLLECTEE		dans plants.csv, entraînée v8, exportable
Anthurium andraeanum	EXPOSEE		déjà servie par Iris 8
Anthurium scherzerianum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Anthurium veitchii	A_COLLECTER	2873417	espèce acceptée, clé GBIF
Anthurium warocqueanum	A_COLLECTER	2873559	espèce acceptée, clé GBIF
Anthurium hookeri	A_COLLECTER	2872293	espèce acceptée, clé GBIF
Anthurium vittarifolium	A_COLLECTER	2873406	espèce acceptée, clé GBIF
Anthurium forgetii	A_COLLECTER	2873656	espèce acceptée, clé GBIF
Anthurium radicans	A_COLLECTER	2872788	espèce acceptée, clé GBIF
Alocasia amazonica	COLLECTEE		dans plants.csv, entraînée v8, exportable
Alocasia zebrina	COLLECTEE		dans plants.csv, entraînée v8, exportable
Alocasia macrorrhizos	EXPOSEE		déjà servie par Iris 8
Alocasia micholitziana	COLLECTEE		dans plants.csv, entraînée v8, exportable
Alocasia reginula	COLLECTEE		dans plants.csv, entraînée v8, exportable
Alocasia baginda	A_COLLECTER	8316200	espèce acceptée, clé GBIF
Alocasia stingray	PAS_ESPECE	RANG GENUS (Alocasia (Schott) G.Don) conf=92	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Alocasia wentii	A_COLLECTER	5329957	espèce acceptée, clé GBIF
Alocasia lauterbachiana	A_COLLECTER	5329877	espèce acceptée, clé GBIF
Alocasia cucullata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Alocasia cuprea	A_COLLECTER	5329958	espèce acceptée, clé GBIF
Alocasia longiloba	COLLECTEE		dans plants.csv, entraînée v8, exportable
Alocasia sinuata	A_COLLECTER	5329859	espèce acceptée, clé GBIF
Syngonium podophyllum	EXPOSEE		déjà servie par Iris 8
Syngonium wendlandii	A_COLLECTER	2867865	espèce acceptée, clé GBIF
Syngonium erythrophyllum	A_COLLECTER	2867864	espèce acceptée, clé GBIF
Syngonium angustatum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Spathiphyllum wallisii	EXPOSEE		déjà servie par Iris 8
Spathiphyllum cochlearispathum	A_COLLECTER	2869661	espèce acceptée, clé GBIF
Aglaonema commutatum	EXPOSEE		déjà servie par Iris 8
Aglaonema pictum	A_COLLECTER	2866460	espèce acceptée, clé GBIF
Aglaonema modestum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Zamioculcas zamiifolia	EXPOSEE		déjà servie par Iris 8
Dieffenbachia seguine	EXPOSEE		déjà servie par Iris 8
Dieffenbachia maculata	SYNONYME	SYNONYME-> [2869345]	résoudre vers le nom accepté avant collecte
Caladium bicolor	EXPOSEE		déjà servie par Iris 8
Caladium humboldtii	A_COLLECTER	2868514	espèce acceptée, clé GBIF
Xanthosoma sagittifolium	COLLECTEE		dans plants.csv, entraînée v8, exportable
Amorphophallus konjac	COLLECTEE		dans plants.csv, entraînée v8, exportable
Goeppertia orbifolia	COLLECTEE		dans plants.csv, entraînée v8, exportable
Goeppertia makoyana	EXPOSEE		déjà servie par Iris 8
Goeppertia insignis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Goeppertia roseopicta	COLLECTEE		dans plants.csv, entraînée v8, exportable
Goeppertia zebrina	COLLECTEE		dans plants.csv, entraînée v8, exportable
Goeppertia warscewiczii	A_COLLECTER	8184122	espèce acceptée, clé GBIF
Goeppertia ornata	A_COLLECTER	7977204	espèce acceptée, clé GBIF
Goeppertia rufibarba	COLLECTEE		dans plants.csv, entraînée v8, exportable
Goeppertia crocata	A_COLLECTER	7401775	espèce acceptée, clé GBIF
Goeppertia musaica	PAS_ESPECE	RANG PHYLUM (Tracheophyta) conf=92	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Goeppertia veitchiana	A_COLLECTER	8146589	espèce acceptée, clé GBIF
Goeppertia lietzei	A_COLLECTER	9578489	espèce acceptée, clé GBIF
Maranta leuconeura	EXPOSEE		déjà servie par Iris 8
Maranta arundinacea	COLLECTEE		dans plants.csv, entraînée v8, exportable
Stromanthe sanguinea	EXPOSEE		déjà servie par Iris 8
Ctenanthe oppenheimiana	COLLECTEE		dans plants.csv, entraînée v8, exportable
Ctenanthe burle-marxii	EXPOSEE		déjà servie par Iris 8
Ctenanthe lubbersiana	A_COLLECTER	2762435	espèce acceptée, clé GBIF
Ctenanthe setosa	A_COLLECTER	2762422	espèce acceptée, clé GBIF
Dracaena trifasciata	EXPOSEE		déjà servie par Iris 8
Dracaena angolensis	A_COLLECTER	10961470	espèce acceptée, clé GBIF
Dracaena masoniana	A_COLLECTER	10956312	espèce acceptée, clé GBIF
Dracaena hanningtonii	A_COLLECTER	5303896	espèce acceptée, clé GBIF
Dracaena marginata	EXPOSEE		déjà servie par Iris 8
Dracaena fragrans	EXPOSEE		déjà servie par Iris 8
Dracaena reflexa	EXPOSEE		déjà servie par Iris 8
Dracaena surculosa	COLLECTEE		dans plants.csv, entraînée v8, exportable
Dracaena draco	EXPOSEE		déjà servie par Iris 8
Dracaena sanderiana	EXPOSEE		déjà servie par Iris 8
Chlorophytum comosum	EXPOSEE		déjà servie par Iris 8
Chlorophytum orchidastrum	A_COLLECTER	2774517	espèce acceptée, clé GBIF
Asparagus setaceus	EXPOSEE		déjà servie par Iris 8
Asparagus densiflorus	EXPOSEE		déjà servie par Iris 8
Beaucarnea recurvata	EXPOSEE		déjà servie par Iris 8
Aspidistra elatior	EXPOSEE		déjà servie par Iris 8
Cordyline fruticosa	EXPOSEE		déjà servie par Iris 8
Cordyline australis	EXPOSEE		déjà servie par Iris 8
Yucca elephantipes	SYNONYME	SYNONYME-> [2775716]	résoudre vers le nom accepté avant collecte
Yucca aloifolia	COLLECTEE		dans plants.csv, entraînée v8, exportable
Ledebouria socialis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Albuca spiralis	A_COLLECTER	2772304	espèce acceptée, clé GBIF
Ficus elastica	EXPOSEE		déjà servie par Iris 8
Ficus lyrata	EXPOSEE		déjà servie par Iris 8
Ficus benjamina	EXPOSEE		déjà servie par Iris 8
Ficus microcarpa	EXPOSEE		déjà servie par Iris 8
Ficus umbellata	A_COLLECTER	5571957	espèce acceptée, clé GBIF
Ficus pumila	EXPOSEE		déjà servie par Iris 8
Ficus triangularis	SYNONYME	SYNONYME-> [5570837]	résoudre vers le nom accepté avant collecte
Ficus altissima	COLLECTEE		dans plants.csv, entraînée v8, exportable
Ficus religiosa	COLLECTEE		dans plants.csv, entraînée v8, exportable
Ficus deltoidea	COLLECTEE		dans plants.csv, entraînée v8, exportable
Dorstenia foetida	A_COLLECTER	7262610	espèce acceptée, clé GBIF
Peperomia obtusifolia	EXPOSEE		déjà servie par Iris 8
Peperomia argyreia	COLLECTEE		dans plants.csv, entraînée v8, exportable
Peperomia caperata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Peperomia prostrata	A_COLLECTER	10776468	espèce acceptée, clé GBIF
Peperomia polybotrya	A_COLLECTER	4186205	espèce acceptée, clé GBIF
Peperomia tetraphylla	A_COLLECTER	3086448	espèce acceptée, clé GBIF
Peperomia clusiifolia	A_COLLECTER	4184364	espèce acceptée, clé GBIF
Peperomia graveolens	A_COLLECTER	4183917	espèce acceptée, clé GBIF
Peperomia nivalis	A_COLLECTER	7305985	espèce acceptée, clé GBIF
Peperomia verticillata	A_COLLECTER	8040674	espèce acceptée, clé GBIF
Piper nigrum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Piper ornatum	A_COLLECTER	3086329	espèce acceptée, clé GBIF
Piper crocatum	A_COLLECTER	7305692	espèce acceptée, clé GBIF
Begonia maculata	EXPOSEE		déjà servie par Iris 8
Begonia rex	COLLECTEE		dans plants.csv, entraînée v8, exportable
Begonia masoniana	COLLECTEE		dans plants.csv, entraînée v8, exportable
Begonia corallina	SYNONYME	SYNONYME-> [7303475]	résoudre vers le nom accepté avant collecte
Begonia erythrophylla	A_COLLECTER	4156797	espèce acceptée, clé GBIF
Begonia metallica	A_COLLECTER	11184649	espèce acceptée, clé GBIF
Begonia venosa	A_COLLECTER	4157897	espèce acceptée, clé GBIF
Begonia listada	A_COLLECTER	4157039	espèce acceptée, clé GBIF
Begonia amphioxus	A_COLLECTER	4159185	espèce acceptée, clé GBIF
Begonia ferox	A_COLLECTER	9340381	espèce acceptée, clé GBIF
Pilea peperomioides	EXPOSEE		déjà servie par Iris 8
Pilea cadierei	COLLECTEE		dans plants.csv, entraînée v8, exportable
Pilea involucrata	PAS_ESPECE	RANG GENUS (Pilea Lindl.) conf=97	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Pilea microphylla	COLLECTEE		dans plants.csv, entraînée v8, exportable
Pilea meyeniana	PAS_ESPECE	INTROUVABLE (NONE, conf=100)	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Soleirolia soleirolii	EXPOSEE		déjà servie par Iris 8
Pellionia pulchra	SYNONYME	SYNONYME-> [7916114]	résoudre vers le nom accepté avant collecte
Pellionia daveauana	SYNONYME	SYNONYME-> [7916114]	résoudre vers le nom accepté avant collecte
Nephrolepis exaltata	EXPOSEE		déjà servie par Iris 8
Nephrolepis cordifolia	COLLECTEE		dans plants.csv, entraînée v8, exportable
Asplenium nidus	EXPOSEE		déjà servie par Iris 8
Asplenium bulbiferum	A_COLLECTER	7310861	espèce acceptée, clé GBIF
Asplenium antiquum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Platycerium bifurcatum	EXPOSEE		déjà servie par Iris 8
Platycerium grande	A_COLLECTER	8655717	espèce acceptée, clé GBIF
Phlebodium aureum	EXPOSEE		déjà servie par Iris 8
Adiantum capillus-veneris	EXPOSEE		déjà servie par Iris 8
Adiantum raddianum	EXPOSEE		déjà servie par Iris 8
Pteris cretica	EXPOSEE		déjà servie par Iris 8
Pteris ensiformis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Davallia fejeensis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Cyrtomium falcatum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Pellaea rotundifolia	COLLECTEE		dans plants.csv, entraînée v8, exportable
Selaginella lepidophylla	COLLECTEE		dans plants.csv, entraînée v8, exportable
Selaginella kraussiana	COLLECTEE		dans plants.csv, entraînée v8, exportable
Dypsis lutescens	EXPOSEE		déjà servie par Iris 8
Howea forsteriana	EXPOSEE		déjà servie par Iris 8
Chamaedorea elegans	EXPOSEE		déjà servie par Iris 8
Chamaedorea seifrizii	COLLECTEE		dans plants.csv, entraînée v8, exportable
Rhapis excelsa	EXPOSEE		déjà servie par Iris 8
Phoenix roebelenii	EXPOSEE		déjà servie par Iris 8
Caryota mitis	EXPOSEE		déjà servie par Iris 8
Licuala grandis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Livistona rotundifolia	SYNONYME	SYNONYME-> [2733431]	résoudre vers le nom accepté avant collecte
Cycas revoluta	EXPOSEE		déjà servie par Iris 8
Zamia furfuracea	COLLECTEE		dans plants.csv, entraînée v8, exportable
Crassula ovata	EXPOSEE		déjà servie par Iris 8
Crassula arborescens	COLLECTEE		dans plants.csv, entraînée v8, exportable
Crassula rupestris	COLLECTEE		dans plants.csv, entraînée v8, exportable
Crassula muscosa	COLLECTEE		dans plants.csv, entraînée v8, exportable
Echeveria elegans	EXPOSEE		déjà servie par Iris 8
Echeveria agavoides	EXPOSEE		déjà servie par Iris 8
Echeveria laui	A_COLLECTER	4200940	espèce acceptée, clé GBIF
Sedum morganianum	EXPOSEE		déjà servie par Iris 8
Sedum rubrotinctum	EXPOSEE		déjà servie par Iris 8
Sedum sieboldii	SYNONYME	SYNONYME-> [7172849]	résoudre vers le nom accepté avant collecte
Kalanchoe blossfeldiana	EXPOSEE		déjà servie par Iris 8
Kalanchoe daigremontiana	EXPOSEE		déjà servie par Iris 8
Kalanchoe tomentosa	EXPOSEE		déjà servie par Iris 8
Kalanchoe thyrsiflora	A_COLLECTER	4198362	espèce acceptée, clé GBIF
Aeonium arboreum	EXPOSEE		déjà servie par Iris 8
Cotyledon tomentosa	COLLECTEE		dans plants.csv, entraînée v8, exportable
Graptopetalum paraguayense	EXPOSEE		déjà servie par Iris 8
Pachyphytum oviferum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Sempervivum tectorum	EXPOSEE		déjà servie par Iris 8
Aloe vera	EXPOSEE		déjà servie par Iris 8
Aloe aristata	SYNONYME	SYNONYME-> [9505138]	résoudre vers le nom accepté avant collecte
Aloe variegata	PAS_ESPECE	RANG FAMILY (Asphodelaceae) conf=97	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Aloe squarrosa	A_COLLECTER	2778154	espèce acceptée, clé GBIF
Haworthiopsis fasciata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Haworthiopsis attenuata	EXPOSEE		déjà servie par Iris 8
Haworthia cooperi	COLLECTEE		dans plants.csv, entraînée v8, exportable
Haworthia truncata	A_COLLECTER	8097702	espèce acceptée, clé GBIF
Gasteria verrucosa	SYNONYME	SYNONYME-> [2778570]	résoudre vers le nom accepté avant collecte
Schlumbergera truncata	EXPOSEE		déjà servie par Iris 8
Hatiora gaertneri	A_COLLECTER	7280947	espèce acceptée, clé GBIF
Rhipsalis baccifera	EXPOSEE		déjà servie par Iris 8
Rhipsalis paradoxa	A_COLLECTER	7280743	espèce acceptée, clé GBIF
Epiphyllum anguliger	SYNONYME	SYNONYME-> [10771315]	résoudre vers le nom accepté avant collecte
Disocactus ackermannii	COLLECTEE		dans plants.csv, entraînée v8, exportable
Opuntia microdasys	EXPOSEE		déjà servie par Iris 8
Echinocactus grusonii	EXPOSEE		déjà servie par Iris 8
Gymnocalycium mihanovichii	EXPOSEE		déjà servie par Iris 8
Mammillaria elongata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Cereus peruvianus	PAS_ESPECE	RANG FAMILY (Cactaceae) conf=97	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Cephalocereus senilis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Euphorbia trigona	EXPOSEE		déjà servie par Iris 8
Euphorbia lactea	EXPOSEE		déjà servie par Iris 8
Euphorbia milii	EXPOSEE		déjà servie par Iris 8
Euphorbia tirucalli	EXPOSEE		déjà servie par Iris 8
Euphorbia pulcherrima	EXPOSEE		déjà servie par Iris 8
Euphorbia obesa	A_COLLECTER	4930719	espèce acceptée, clé GBIF
Codiaeum variegatum	EXPOSEE		déjà servie par Iris 8
Acalypha hispida	COLLECTEE		dans plants.csv, entraînée v8, exportable
Lithops lesliei	EXPOSEE		déjà servie par Iris 8
Lithops pseudotruncatella	A_COLLECTER	7329176	espèce acceptée, clé GBIF
Faucaria tigrina	A_COLLECTER	3703460	espèce acceptée, clé GBIF
Conophytum bilobum	A_COLLECTER	7329433	espèce acceptée, clé GBIF
Phalaenopsis equestris	A_COLLECTER	5310951	espèce acceptée, clé GBIF
Dendrobium nobile	EXPOSEE		déjà servie par Iris 8
Dendrobium phalaenopsis	SYNONYME	SYNONYME-> [5315722]	résoudre vers le nom accepté avant collecte
Cymbidium hybrida	PAS_ESPECE	INTROUVABLE (NONE, conf=100)	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Oncidium flexuosum	PAS_ESPECE	RANG FAMILY (Orchidaceae) conf=97	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Miltoniopsis hybrida	PAS_ESPECE	RANG GENUS (Miltoniopsis God.-Leb.) conf=94	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Cambria hybrida	PAS_ESPECE	RANG GENUS (Cambria Neckaja & Ivanova, 1956) conf=94	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Paphiopedilum insigne	A_COLLECTER	2825576	espèce acceptée, clé GBIF
Cattleya labiata	A_COLLECTER	2801162	espèce acceptée, clé GBIF
Ludisia discolor	COLLECTEE		dans plants.csv, entraînée v8, exportable
Macodes petola	A_COLLECTER	2804641	espèce acceptée, clé GBIF
Vanda coerulea	A_COLLECTER	2783163	espèce acceptée, clé GBIF
Brassia verrucosa	COLLECTEE		dans plants.csv, entraînée v8, exportable
Epidendrum radicans	COLLECTEE		dans plants.csv, entraînée v8, exportable
Zygopetalum maculatum	A_COLLECTER	2837000	espèce acceptée, clé GBIF
Vanilla planifolia	COLLECTEE		dans plants.csv, entraînée v8, exportable
Tillandsia xerographica	A_COLLECTER	2695364	espèce acceptée, clé GBIF
Tillandsia ionantha	EXPOSEE		déjà servie par Iris 8
Tillandsia usneoides	COLLECTEE		dans plants.csv, entraînée v8, exportable
Guzmania lingulata	EXPOSEE		déjà servie par Iris 8
Aechmea fasciata	EXPOSEE		déjà servie par Iris 8
Vriesea splendens	EXPOSEE		déjà servie par Iris 8
Neoregelia carolinae	COLLECTEE		dans plants.csv, entraînée v8, exportable
Billbergia nutans	COLLECTEE		dans plants.csv, entraînée v8, exportable
Cryptanthus zonatus	COLLECTEE		dans plants.csv, entraînée v8, exportable
Ananas comosus var. variegatus	COLLECTEE		dans plants.csv, entraînée v8, exportable
Hoya carnosa	EXPOSEE		déjà servie par Iris 8
Hoya kerrii	COLLECTEE		dans plants.csv, entraînée v8, exportable
Hoya australis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Hoya linearis	A_COLLECTER	7410932	espèce acceptée, clé GBIF
Hoya pubicalyx	COLLECTEE		dans plants.csv, entraînée v8, exportable
Hoya bella	A_COLLECTER	3575282	espèce acceptée, clé GBIF
Hoya compacta	SYNONYME	SYNONYME-> [8658195]	résoudre vers le nom accepté avant collecte
Ceropegia woodii	EXPOSEE		déjà servie par Iris 8
Ceropegia sandersonii	A_COLLECTER	7837855	espèce acceptée, clé GBIF
Dischidia pectenoides	SYNONYME	SYNONYME-> [8017070]	résoudre vers le nom accepté avant collecte
Dischidia nummularia	COLLECTEE		dans plants.csv, entraînée v8, exportable
Dischidia ruscifolia	A_COLLECTER	7656154	espèce acceptée, clé GBIF
Pachypodium lameri	A_COLLECTER	5535474	espèce acceptée, clé GBIF
Adenium obesum	EXPOSEE		déjà servie par Iris 8
Stapelia gigantea	COLLECTEE		dans plants.csv, entraînée v8, exportable
Catharanthus roseus	EXPOSEE		déjà servie par Iris 8
Mandevilla sanderi	EXPOSEE		déjà servie par Iris 8
Tradescantia zebrina	EXPOSEE		déjà servie par Iris 8
Tradescantia fluminensis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Tradescantia pallida	EXPOSEE		déjà servie par Iris 8
Tradescantia spathacea	COLLECTEE		dans plants.csv, entraînée v8, exportable
Tradescantia sillamontana	COLLECTEE		dans plants.csv, entraînée v8, exportable
Callisia repens	EXPOSEE		déjà servie par Iris 8
Callisia fragrans	COLLECTEE		dans plants.csv, entraînée v8, exportable
Cyanotis somaliensis	A_COLLECTER	5303359	espèce acceptée, clé GBIF
Oxalis triangularis	EXPOSEE		déjà servie par Iris 8
Oxalis tetraphylla	EXPOSEE		déjà servie par Iris 8
Oxalis megalorrhiza	A_COLLECTER	7318087	espèce acceptée, clé GBIF
Plectranthus scutellarioides	EXPOSEE		déjà servie par Iris 8
Plectranthus verticillatus	COLLECTEE		dans plants.csv, entraînée v8, exportable
Plectranthus australis	SYNONYME	SYNONYME-> [10030768]	résoudre vers le nom accepté avant collecte
Plectranthus amboinicus	SYNONYME	SYNONYME-> [5341313]	résoudre vers le nom accepté avant collecte
Rosmarinus officinalis	SYNONYME	SYNONYME-> [10902460]	résoudre vers le nom accepté avant collecte
Mentha spicata	EXPOSEE		déjà servie par Iris 8
Ocimum basilicum	EXPOSEE		déjà servie par Iris 8
Lavandula angustifolia	EXPOSEE		déjà servie par Iris 8
Streptocarpus cultivar	PAS_ESPECE	RANG KINGDOM (Plantae) conf=92	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Saintpaulia ionantha	EXPOSEE		déjà servie par Iris 8
Aeschynanthus radicans	EXPOSEE		déjà servie par Iris 8
Aeschynanthus longicaulis	A_COLLECTER	3825597	espèce acceptée, clé GBIF
Nematanthus gregarius	COLLECTEE		dans plants.csv, entraînée v8, exportable
Columnea gloria	SYNONYME	SYNONYME-> [6365214]	résoudre vers le nom accepté avant collecte
Sinningia speciosa	COLLECTEE		dans plants.csv, entraînée v8, exportable
Episcia cupreata	EXPOSEE		déjà servie par Iris 8
