espece,occurrences
Drosera rotundifolia,9833
Salvia rosmarinus Spenn.,2330
Narcissus tazzetta,1177
Heptapleurum actinophyllum (Endl.) Lowry & G.M.Plunkett,1031
Nertera granadensis,972
Asplenium bulbiferum,662
Citrus ×aurantium L.,531
Peperomia tetraphylla,399
Dieffenbachia seguine (Jacq.) Schott,310
Pothos chinensis,299
Citrus limon,282
Callianthe picta (Gillies ex Hook. & Arn.) Donnell,253
Coleus australis (R.Br.) A.J.Paton,245
Typhonium blumei,204
Yucca gigantea Lem.,198
Monstera dubia,197
Euphorbia tithymaloides L.,181
Hoya carnosa (L.fil.) R.Br.,170
Philodendron verrucosum,141
Pinguicula moranensis,140
Kalanchoe thyrsiflora,101
Callianthe megapotamica (A.Spreng.) Dorr,95
Costus woodenii,94
Monstera tuberculata,91
Coleus amboinicus Lour.,86
Philodendron pedatum,69
Begonia maculata Raddi,63
Pothos scandens,61
Citrus aurantiifolia,60
Monstera siltepecana,54
Rhipsalis paradoxa,49
Kohleria hirsuta (Kunth) Regel,48
Ficus natalensis subsp. leprieurii (Miq.) Berg,47
Rhaphidophora hayi,46
Philodendron hederaceum var. hederaceum,45
Monstera pinnatipartita,44
Dracaena angolensis,35
Pachypodium lameri,33
Amydrium medium,33
Bowiea volubilis,31
Remusatia vivipara,27
Oxalis megalorrhiza,26
Philodendron squamiferum,24
Ctenanthe setosa,21
Rhaphidophora decursiva,21
Lasia spinosa,21
Amydrium zippelianum,20
Pachypodium geayi,19
Philodendron brandtianum,18
Chrysanthemum morifolium,18
Peperomia maculosa,18
Aiphanes horrida,17
Procris repens (Lour.) B.J.Conn & Hadiah,16
Strobilanthes alternata (Burm.fil.) Moylan ex J.R.I.Wood,16
Dioscorea elephantipes,15
Euphorbia umbellata (Pax) Bruyns,15
Begonia conchifolia,15
Albuca spiralis,14
Tillandsia xerographica,14
Dorstenia foetida,13
Urceolina amazonica (Linden ex Planch.) Christenh. & Byng,13
Ficus umbellata,12
Zygopetalum maculatum,12
Scindapsus officinalis,11
Goeppertia lietzei,11
Aristaloe aristata (Haw.) Boatwr. & J.C.Manning,11
Epipremnum amplissimum,9
Saribus rotundifolius (Lam.) Blume,9
Conophytum bilobum,9
Columnea microcalyx Hanst.,9
Pachypodium brevicaule,9
Philodendron tripartitum,8
Anthurium hookeri,8
Ruellia makoyana,8
Schismatoglottis calyptrata,8
Philodendron billietiae,7
Disocactus anguliger (Lem.) M.Á.Cruz & S.Arias,7
"Thaumatophyllum xanadu (Croat, J.Boos & Mayo) Sakur., Calazans & Mayo",6
Haworthia truncata,6
Vanda coerulea,6
Philodendron hastatum,5
Dracaena hanningtonii,5
Scadoxus multiflorus subsp. katharinae (Baker) Friis & Nordal,5
Sprekelia formosissima,5
Cyrtosperma johnstonii,5
Chamaedorea radicalis,5
Geonoma epetiolata,5
Kerriodoxa elegans,5
Peperomia nivalis,4
Platycerium grande,4
Peperomia fraseri,4
Goeppertia louisae (Gagnep.) Borchs. & S.Suárez,4
Euphorbia suzannae,4
Monstera subpinnata,3
Philodendron melanochrysum,3
Syngonium wendlandii,3
Hatiora gaertneri,3
Macodes petola,3
Aeschynanthus longicaulis,3
Curio herreanus,3
Adenia spinosa,3
Monstera standleyana,2
Anthurium warocqueanum,2
Goeppertia veitchiana,2
Peperomia graveolens,2
Piper ornatum,2
Echeveria laui,2
Cattleya labiata,2
Utricularia sandersonii,2
Stephania pierrei Diels,2
Stephania pierrei,2
Phyllanthus mirabilis,2
Goeppertia ecuadoriana (H.Kenn.) Borchs. & S.Suárez,2
Homalomena rubescens,2
Chamaedorea microspadix,2
Euphorbia decaryi var. decaryi,2
Euphorbia decaryi,2
Philodendron atabapoense,1
Philodendron rugosum,1
Philodendron tortum,1
Scindapsus treubii,1
Anthurium veitchii,1
Alocasia lauterbachiana,1
Alocasia cuprea,1
Syngonium erythrophyllum,1
Spathiphyllum cochlearispathum,1
Goeppertia crocata,1
Ctenanthe lubbersiana,1
Dracaena masoniana,1
Peperomia prostrata,1
Gasteria carinata var. verrucosa (Mill.) van Jaarsv.,1
Lithops pseudotruncatella,1
Faucaria tigrina,1
Hoya linearis,1
Hoya bella,1
Ceropegia sandersonii,1
Dischidia ruscifolia,1
Metapetrocosmea tamiana (B.L.Burtt) Yin Z.Wang & P.W.Li,1
Goeppertia allouia (Aubl.) Borchs. & S.Suárez,1
Nepenthes alata,1
Nepenthes ventricosa,1
Peperomia incana,1
Begonia goegoensis,1
Schismatoglottis wallichii,1
Cryptocoryne wendtii,1
Euphorbia cylindrifolia,1
Philodendron burle-marxii,0
Philodendron patriot,0
Anthurium vittarifolium,0
Anthurium forgetii,0
Anthurium radicans,0
Alocasia baginda,0
Alocasia wentii,0
Alocasia sinuata,0
Aglaonema pictum,0
Caladium humboldtii,0
Goeppertia warscewiczii,0
Goeppertia ornata,0
Chlorophytum orchidastrum,0
Peperomia polybotrya,0
Peperomia clusiifolia,0
Peperomia verticillata,0
Piper crocatum,0
Begonia erythrophylla,0
Begonia metallica,0
Begonia venosa,0
Begonia listada,0
Begonia amphioxus,0
Begonia ferox,0
Hylotelephium sieboldii (Regel) H.Ohba,0
Aloe squarrosa,0
Euphorbia obesa,0
Phalaenopsis equestris,0
Dendrobium bigibbum var. superbum Rchb.f.,0
Paphiopedilum insigne,0
Dischidia vidalii Becc.,0
Cyanotis somaliensis,0
Fatshedera lizei,0
Anisodontea capensis,0
Primula obconica,0
Rotheca myricoides subsp. myricoides,0
Fittonia gigantea,0
Hippeastrum hortorum,0
Cryptostephanus vansonii,0
Stephania suberosa,0
Euphorbia ritchiei (P.R.O.Bally) Bruyns,0
Pilea grandifolia (L.) Blume,0
Pilea multiflora (Poir.) Wedd.,0
Peperomia metallica,0
Begonia serratipetala,0
Calathea metallica,0
Calathea lindeniana,0
Goeppertia chimboracensis (Linden) Borchs. & S.Suárez,0
Adelonema wallisii (Regel) S.Y.Wong & Croat,0
Bucephalandra pygmaea,0
Anubias barteri,0
Rhaphidophora cryptantha,0
Anadendrum microstachyum,0
Chamaedorea metallica,0
Iguanura wallichiana,0
Euphorbia abdelkuri,0
