espece,observations_inat_libres,taxon_resolu
Monstera dubia,221,Monstera dubia
Monstera standleyana,6,Monstera standleyana
Monstera siltepecana,90,Monstera siltepecana
Monstera subpinnata,2,Monstera subpinnata
Monstera pinnatipartita,65,Monstera pinnatipartita
Monstera tuberculata,121,Monstera tuberculata
Philodendron verrucosum,125,Philodendron verrucosum
Philodendron melanochrysum,8,Philodendron melanochrysum
Philodendron squamiferum,25,Philodendron squamiferum
Philodendron pedatum,81,Philodendron pedatum
"Thaumatophyllum xanadu (Croat, J.Boos & Mayo) Sakur., Calazans & Mayo",-1,
Philodendron brandtianum,19,Philodendron brandtianum
Philodendron atabapoense,3,Philodendron atabapoense
Philodendron billietiae,7,Philodendron billietiae
Philodendron burle-marxii,1,Philodendron burle-marxii
Philodendron hastatum,6,Philodendron hastatum
Philodendron hederaceum var. hederaceum,-1,
Philodendron patriot,-1,
Philodendron rugosum,3,Philodendron rugosum
Philodendron tortum,4,Philodendron tortum
Philodendron tripartitum,23,Philodendron tripartitum
Epipremnum amplissimum,11,Epipremnum amplissimum
Scindapsus treubii,2,Scindapsus treubii
Scindapsus officinalis,13,Scindapsus officinalis
Anthurium veitchii,6,Anthurium veitchii
Anthurium warocqueanum,3,Anthurium warocqueanum
Anthurium hookeri,24,Anthurium hookeri
Anthurium vittarifolium,-1,
Anthurium forgetii,0,Anthurium forgetii
Anthurium radicans,0,Anthurium radicans
Alocasia baginda,1,Alocasia baginda
Alocasia wentii,1,Alocasia wentii
Alocasia lauterbachiana,1,Alocasia lauterbachiana
Alocasia cuprea,1,Alocasia cuprea
Alocasia sinuata,1,Alocasia sinuata
Syngonium wendlandii,8,Syngonium wendlandii
Syngonium erythrophyllum,2,Syngonium erythrophyllum
Spathiphyllum cochlearispathum,11,Spathiphyllum cochlearispathum
Aglaonema pictum,0,Aglaonema pictum
Dieffenbachia seguine (Jacq.) Schott,-1,
Caladium humboldtii,4,Caladium humboldtii
Goeppertia warscewiczii,-1,
Goeppertia ornata,0,Goeppertia ornata
Goeppertia crocata,5,Goeppertia crocata
Goeppertia veitchiana,3,Goeppertia veitchiana
Goeppertia lietzei,15,Goeppertia lietzei
Ctenanthe lubbersiana,5,Ctenanthe lubbersiana
Ctenanthe setosa,0,Ctenanthe setosa
Dracaena angolensis,162,Sansevieria cylindrica~
Dracaena masoniana,0,Dracaena masoniana
Dracaena hanningtonii,2,Sansevieria ehrenbergii~
Chlorophytum orchidastrum,4,Chlorophytum orchidastrum
Yucca gigantea Lem.,-1,
Albuca spiralis,63,Albuca spiralis
Ficus umbellata,4,Ficus umbellata
Ficus natalensis subsp. leprieurii (Miq.) Berg,-1,
Dorstenia foetida,20,Dorstenia foetida
Peperomia prostrata,4,Peperomia prostrata
Peperomia polybotrya,2,Peperomia polybotrya
Peperomia tetraphylla,556,Peperomia tetraphylla
Peperomia clusiifolia,2,Peperomia clusiifolia
Peperomia graveolens,6,Peperomia graveolens
Peperomia nivalis,9,Peperomia nivalis
Peperomia verticillata,2,Peperomia verticillata
Piper ornatum,4,Piper ornatum
Piper crocatum,2,Piper crocatum
Begonia maculata Raddi,-1,
Begonia erythrophylla,14,Begonia × erythrophylla~
Begonia metallica,0,Begonia metallica
Begonia venosa,2,Begonia venosa
Begonia listada,0,Begonia listada
Begonia amphioxus,4,Begonia amphioxus
Begonia ferox,2,Begonia ferox
Procris repens (Lour.) B.J.Conn & Hadiah,-1,
Procris repens (Lour.) B.J.Conn & Hadiah,-1,
Asplenium bulbiferum,646,Asplenium bulbiferum
Platycerium grande,5,Platycerium grande
Saribus rotundifolius (Lam.) Blume,-1,
Echeveria laui,3,Echeveria laui
Hylotelephium sieboldii (Regel) H.Ohba,-1,
Kalanchoe thyrsiflora,138,Kalanchoe thyrsiflora
Aristaloe aristata (Haw.) Boatwr. & J.C.Manning,-1,
Aloe squarrosa,1,Aloe squarrosa
Haworthia truncata,26,Haworthia truncata
Gasteria carinata var. verrucosa (Mill.) van Jaarsv.,-1,
Hatiora gaertneri,22,Rhipsalidopsis gaertneri~
Rhipsalis paradoxa,44,Rhipsalis paradoxa
Disocactus anguliger (Lem.) M.Á.Cruz & S.Arias,-1,
Euphorbia obesa,10,Euphorbia obesa
Lithops pseudotruncatella,5,Lithops pseudotruncatella
Faucaria tigrina,8,Faucaria tigrina
Conophytum bilobum,30,Conophytum bilobum
Phalaenopsis equestris,2,Phalaenopsis equestris
Dendrobium bigibbum var. superbum Rchb.f.,-1,
Paphiopedilum insigne,5,Paphiopedilum insigne
Cattleya labiata,2,Cattleya labiata
Macodes petola,8,Macodes petola
Vanda coerulea,5,Vanda coerulea
Zygopetalum maculatum,29,Zygopetalum maculatum
Tillandsia xerographica,13,Tillandsia xerographica
Hoya linearis,5,Hoya linearis
Hoya bella,3,Hoya bella
Hoya carnosa (L.fil.) R.Br.,-1,
Ceropegia sandersonii,3,Ceropegia sandersonii
Dischidia vidalii Becc.,-1,
Dischidia ruscifolia,3,Dischidia ruscifolia
Pachypodium lameri,-1,
Cyanotis somaliensis,11,Cyanotis somaliensis
Oxalis megalorrhiza,66,Oxalis megalorrhiza
Coleus australis (R.Br.) A.J.Paton,-1,
Coleus amboinicus Lour.,-1,
Salvia rosmarinus Spenn.,-1,
Aeschynanthus longicaulis,8,Aeschynanthus longicaulis
Columnea microcalyx Hanst.,-1,
Metapetrocosmea tamiana (B.L.Burtt) Yin Z.Wang & P.W.Li,-1,
Kohleria hirsuta (Kunth) Regel,-1,
Curio herreanus,7,Curio herreanus
Chrysanthemum morifolium,389,Chrysanthemum × morifolium~
Heptapleurum actinophyllum (Endl.) Lowry & G.M.Plunkett,-1,
Fatshedera lizei,3,× Fatshedera lizei~
