espece_plantnet,noms_du_depot,origine,photos_plantnet,photos_libres,dont_plante_entiere,verdict,note,cle_gbif
Begonia rex,Begonia rex,quatorze,4491,4491,83,propre,,4156721
Phalaenopsis amabilis,Phalaenopsis amabilis,quatorze,3089,3092,64,propre,"surtout des hybrides du commerce, ce que photographient les utilisateurs",5311007
Alocasia sanderiana,Alocasia amazonica,quatorze,2573,2573,23,propre,,5329946
Scadoxus multiflorus,Scadoxus multiflorus,rattrapage,1835,1831,77,propre,,2860677
Faucaria tigrina,Faucaria tigrina,a_collecter,1166,1157,109,propre,,3703460
Rotheca myricoides,Rotheca myricoides,rattrapage,1126,1126,52,propre,,7307157
Goeppertia rufibarba,Goeppertia rufibarba,catalogue_app,1041,1041,22,propre,,8260770
Peperomia ferreyrae,Peperomia ferreyrae,catalogue_app,1011,1011,23,propre,,4186501
Strobilanthes alternata,Hemigraphis alternata,catalogue_app,960,954,40,propre,,8297383
Goeppertia orbifolia,Calathea orbifolia | Goeppertia orbifolia,catalogue_app / quatorze,786,787,9,propre,,7476815
Begonia bowerae,Begonia bowerae,catalogue_app,711,711,30,propre,,7303280
Gynura aurantiaca,Gynura aurantiaca,quatorze,677,678,43,propre,,3115470
Pilea mollis,Pilea mollis,catalogue_app,588,588,7,propre,,5670312
Goeppertia ornata,Goeppertia ornata,a_collecter,526,527,8,propre,,7977204
Alocasia reginula,Alocasia reginula,catalogue_app,524,524,1,propre,,5329895
Anthurium clarinervium,Anthurium clarinervium,quatorze,498,498,6,propre,,2872501
Euphorbia obesa,Euphorbia obesa,a_collecter,457,457,19,propre,,4930719
Anisodontea capensis,Anisodontea capensis,a_collecter,449,449,29,propre,,3940873
Chlorophytum orchidastrum,Chlorophytum orchidastrum,a_collecter,424,424,16,propre,,2774517
Goeppertia crocata,Goeppertia crocata,a_collecter,422,422,21,propre,,7401775
Cryptanthus zonatus,Cryptanthus zonatus,catalogue_app,404,404,7,propre,,10950218
Philodendron hastatum,Philodendron hastatum,a_collecter,379,379,8,propre,,2871100
Vanda coerulea,Vanda coerulea,a_collecter,369,365,19,propre,hybrides de Vanda mêlés,2783163
Primula obconica,Primula obconica,a_collecter,338,337,8,propre,,7290874
Goeppertia kegeljanii,Goeppertia kegeljanii,rattrapage,307,307,7,propre,,9503637
Alocasia zebrina,Alocasia zebrina,quatorze,285,285,17,propre,,11344748
Syngonium wendlandii,Syngonium wendlandii,a_collecter,262,262,3,propre,,2867865
Aeschynanthus longicaulis,Aeschynanthus longicaulis,a_collecter,243,243,8,propre,,3825597
Nepenthes alata,Nepenthes alata,a_collecter,233,233,19,propre,hybrides de Nepenthes mêlés,3702270
Euphorbia decaryi,Euphorbia decaryi,a_collecter,178,178,13,propre,,3068904
Tillandsia bulbosa,Tillandsia bulbosa,catalogue_app,170,149,14,propre,,2695645
Hippeastrum vittatum,Hippeastrum vittatum,quatorze,146,146,2,propre,surtout des hybrides d'amaryllis,2854588
Pilea multiflora,Pilea glaucophylla,catalogue_app,131,131,6,propre,,5670242
Tillandsia xerographica,Tillandsia xerographica,a_collecter,129,129,5,propre,,2695364
Pachyphytum oviferum,Pachyphytum oviferum,quatorze,117,118,63,propre,,4202469
Begonia listada,Begonia listada,a_collecter,115,114,3,propre,,4157039
Ctenanthe lubbersiana,Ctenanthe lubbersiana,a_collecter,112,112,4,propre,,2762435
Goeppertia lietzei,Goeppertia lietzei,a_collecter,107,107,2,propre,,9578489
Anthurium veitchii,Anthurium veitchii,a_collecter,104,104,4,propre,,2873417
Anthurium warocqueanum,Anthurium warocqueanum,a_collecter,103,103,20,propre,,2873559
Peperomia prostrata,Peperomia prostrata,a_collecter,98,98,4,propre,,10776468
Scindapsus treubii,Scindapsus treubii,a_collecter,92,92,2,propre,,2873707
Hoya linearis,Hoya linearis,a_collecter,81,80,4,propre,,7410932
Piper ornatum,Piper ornatum,a_collecter,79,79,4,propre,,3086329
Dorstenia foetida,Dorstenia foetida,a_collecter,75,75,4,propre,,7262610
Peperomia argyraea,Peperomia argyraea,rattrapage/quatorze,75,75,1,propre,,12251984
Begonia amphioxus,Begonia amphioxus,a_collecter,73,73,3,propre,,4159185
Philodendron billietiae,Philodendron billietiae,a_collecter,71,71,3,propre,,2870818
Philodendron tortum,Philodendron tortum,a_collecter,62,62,1,propre,,2870881
Hoya multiflora,Hoya multiflora,catalogue_app,59,59,4,propre,,3573230
Adelonema wallisii,Homalomena wallisii,catalogue_app,57,56,0,propre,,9255776
Cryptocoryne wendtii,Cryptocoryne wendtii,a_collecter,53,52,3,propre,,2869214
Alocasia odora,Alocasia odora,catalogue_app,51,50,9,propre,,9506227
Euphorbia cylindrifolia,Euphorbia cylindrifolia,a_collecter,47,47,7,propre,,3070377
Begonia conchifolia,Begonia conchifolia,a_collecter,46,46,1,propre,,7303439
Brassia verrucosa,Brassia verrucosa,catalogue_app,48,41,2,propre,,5323864
Begonia ferox,Begonia ferox,a_collecter,35,35,1,propre,,9340381
Cattleya labiata,Cattleya labiata,a_collecter,34,34,1,propre,hybrides mêlés ; une photo avec un visage,2801162
Begonia serratipetala,Begonia serratipetala,a_collecter,36,33,4,propre,,4157972
Rhaphidophora cryptantha,Rhaphidophora cryptantha,a_collecter,31,31,2,propre,,5329650
Columnea microcalyx,Columnea gloriosa,quatorze,29,29,2,propre,,6365214
Peperomia incana,Peperomia incana,a_collecter,25,25,3,propre,,8049505
Philodendron xanadu,Philodendron xanadu,catalogue_app,2361,2361,69,à filtrer,"mêlé de Philodendron bipinnatifidum, déjà classe du modèle",9669385
Ctenanthe setosa,Ctenanthe setosa,a_collecter,2105,2106,37,à filtrer,erreurs visibles sur 6 photos,2762422
Rhipsalidopsis gaertneri,Hatiora gaertneri,a_collecter,1124,1124,21,à filtrer,erreurs visibles sur 6 photos,7280947
Philodendron giganteum,Philodendron giganteum,catalogue_app,906,890,54,à filtrer,erreurs visibles sur 6 photos,2870862
Lithops pseudotruncatella,Lithops pseudotruncatella,a_collecter,875,875,19,à filtrer,erreurs visibles sur 6 photos,7329176
Urceolina amazonica,Eucharis amazonica,catalogue_app,871,871,19,à filtrer,erreurs visibles sur 6 photos,10989209
Cyanotis somaliensis,Cyanotis somaliensis,a_collecter,572,572,7,à filtrer,erreurs visibles sur 6 photos,5303359
Curio herreanus,Curio herreanus,a_collecter,553,553,10,à filtrer,erreurs visibles sur 6 photos,3149664
Paphiopedilum insigne,Paphiopedilum insigne,a_collecter,470,469,12,à filtrer,erreurs visibles sur 6 photos,2825576
Alocasia baginda,Alocasia baginda,a_collecter,452,452,8,à filtrer,erreurs visibles sur 6 photos,8316200
Goeppertia louisae,Calathea louisae,catalogue_app,437,437,22,à filtrer,erreurs visibles sur 6 photos,9431418
Philodendron melanochrysum,Philodendron melanochrysum,a_collecter,370,369,11,à filtrer,erreurs visibles sur 6 photos,2871241
Procris repens,Pellionia daveauana | Pellionia pulchra | Pellionia repens,catalogue_app,367,367,8,à filtrer,erreurs visibles sur 6 photos,7916114
Lutheria splendens,Lutheria splendens,catalogue_app,349,350,21,à filtrer,erreurs visibles sur 6 photos,9523461
Goeppertia warszewiczii,Goeppertia warszewiczii,rattrapage,357,339,16,à filtrer,erreurs visibles sur 6 photos,9467672
Dendrobium bigibbum,Dendrobium bigibbum,rattrapage,307,306,18,à filtrer,erreurs visibles sur 6 photos,5315699
Dendrobium kingianum,Dendrobium kingianum,catalogue_app,277,277,12,à filtrer,erreurs visibles sur 6 photos,5316009
Anthurium crystallinum,Anthurium crystallinum,catalogue_app,249,249,8,à filtrer,erreurs visibles sur 6 photos,2872232
Ceropegia sandersonii,Ceropegia sandersonii,a_collecter,210,210,3,à filtrer,erreurs visibles sur 6 photos,7837855
Philodendron mayoi,Philodendron mayoi,catalogue_app,183,183,1,à filtrer,erreurs visibles sur 6 photos,2871293
Haworthia truncata,Haworthia truncata,a_collecter,171,171,16,à filtrer,erreurs visibles sur 6 photos,8097702
Hoya lacunosa,Hoya lacunosa,catalogue_app,171,171,3,à filtrer,erreurs visibles sur 6 photos,3573874
Tillandsia caput-medusae,Tillandsia caput-medusae,catalogue_app,160,160,7,à filtrer,erreurs visibles sur 6 photos,2695451
Ravenea rivularis,Ravenea rivularis,quatorze,114,114,15,à filtrer,erreurs visibles sur 6 photos,2739031
Hoya wayetii,Hoya wayetii,catalogue_app,94,94,6,à filtrer,erreurs visibles sur 6 photos,3571594
× Fatshedera lizei,× Fatshedera lizei,rattrapage,86,86,9,à filtrer,erreurs visibles sur 6 photos,3597552
Philodendron brandtianum,Philodendron brandtianum,a_collecter,70,70,2,à filtrer,erreurs visibles sur 6 photos,2870671
Ficus umbellata,Ficus umbellata,a_collecter,69,69,4,à filtrer,erreurs visibles sur 6 photos,5571957
Dischidia ruscifolia,Dischidia ruscifolia,a_collecter,66,66,4,à filtrer,erreurs visibles sur 6 photos,7656154
Hoya bella,Hoya bella,a_collecter,63,63,3,à filtrer,erreurs visibles sur 6 photos,3575282
Begonia venosa,Begonia venosa,a_collecter,59,59,5,à filtrer,erreurs visibles sur 6 photos,4157897
Macodes petola,Macodes petola,a_collecter,58,45,2,à filtrer,erreurs visibles sur 6 photos,2804641
Aglaonema pictum,Aglaonema pictum,a_collecter,45,44,2,à filtrer,erreurs visibles sur 6 photos,2866460
