Abies nordmanniana
Acer palmatum
Achillea millefolium
Actinidia deliciosa
Agapanthus africanus
Alcea rosea
Allium cepa
Allium porrum
Allium sativum
Allium schoenoprasum
Anemone nemorosa
Anethum graveolens
Antirrhinum majus
Apium graveolens
Aquilegia vulgaris
Arbutus unedo
Artemisia dracunculus
Asparagus officinalis
Begonia × semperflorens-cultorum
Bellis perennis
Beta vulgaris
Betula pendula
Bougainvillea glabra
Brassica oleracea
Brassica rapa
Buxus sempervirens
Calendula officinalis
Callistemon citrinus
Calluna vulgaris
Camellia japonica
Campanula rotundifolia
Capsicum annuum
Capsicum chinense
Centaurea cyanus
Chamaerops humilis
Chrysanthemum × morifolium
Citrullus lanatus
Citrus hystrix
Citrus japonica
Citrus reticulata
Citrus × limon
Citrus × sinensis
Clematis vitalba
Clematis viticella
Convallaria majalis
Coriandrum sativum
Cornus alba
Corylus avellana
Cosmos bipinnatus
Cotinus coggygria
Crocus vernus
Cucumis melo
Cucumis sativus
Cucurbita maxima
Cucurbita pepo
Cupressus sempervirens
Cydonia oblonga
Cymbopogon citratus
Cynara cardunculus
Dahlia pinnata
Daucus carota
Delphinium elatum
Dianthus caryophyllus
Digitalis purpurea
Diospyros kaki
Echinacea purpurea
Erica carnea
Eriobotrya japonica
Eruca vesicaria
Eucalyptus gunnii
Fagus sylvatica
Fargesia murielae
Ficus carica
Ficus microcarpa
Foeniculum vulgare
Forsythia × intermedia
Fragaria vesca
Fragaria × ananassa
Fuchsia magellanica
Galanthus nivalis
Gardenia jasminoides
Gentiana acaulis
Gentiana lutea
Gerbera jamesonii
Ginkgo biloba
Hamamelis × intermedia
Helianthus annuus
Hemerocallis fulva
Hibiscus rosa-sinensis
Hosta plantaginea
Hyacinthus orientalis
Hydrangea macrophylla
Hypericum perforatum
Ilex aquifolium
Impatiens walleriana
Ipomoea purpurea
Iris germanica
Jasminum officinale
Juglans regia
Juniperus procumbens
Lactuca sativa
Lathyrus odoratus
Laurus nobilis
Lavandula angustifolia
Lavandula stoechas
Leontopodium nivale
Leucanthemum vulgare
Ligustrum vulgare
Lilium candidum
Lupinus polyphyllus
Magnolia × soulangeana
Malus domestica
Mangifera indica
Matricaria chamomilla
Melissa officinalis
Mentha spicata
Mentha × piperita
Myosotis sylvatica
Nandina domestica
Narcissus pseudonarcissus
Nerium oleander
Nigella damascena
Nymphaea alba
Ocimum basilicum
Olea europaea
Origanum majorana
Origanum vulgare
Paeonia lactiflora
Papaver rhoeas
Passiflora edulis
Pelargonium graveolens
Pelargonium × hortorum
Persea americana
Petroselinum crispum
Petunia × atkinsiana
Phaseolus vulgaris
Photinia × fraseri
Phyllostachys aurea
Physalis peruviana
Picea abies
Pieris japonica
Pinus mugo
Pisum sativum
Primula veris
Primula vulgaris
Prunus armeniaca
Prunus avium
Prunus domestica
Prunus dulcis
Prunus laurocerasus
Prunus persica
Prunus serrulata
Pulsatilla vulgaris
Punica granatum
Pyrus communis
Quercus robur
Raphanus sativus
Rheum rhabarbarum
Rhododendron ferrugineum
Rhododendron simsii
Ribes nigrum
Ribes rubrum
Ribes uva-crispa
Rosa × hybrida
Rubus fruticosus
Rubus idaeus
Rudbeckia hirta
Salix babylonica
Salvia nemorosa
Salvia officinalis
Salvia rosmarinus
Sambucus nigra
Satureja hortensis
Saxifraga paniculata
Silene acaulis
Skimmia japonica
Solanum lycopersicum
Solanum melongena
Solanum tuberosum
Soldanella alpina
Spinacia oleracea
Stevia rebaudiana
Syringa vulgaris
Tagetes patula
Taraxacum officinale
Thuja occidentalis
Thymus vulgaris
Tilia cordata
Trachycarpus fortunei
Tropaeolum majus
Tulipa gesneriana
Ulmus parvifolia
Vaccinium corymbosum
Vaccinium myrtillus
Viburnum tinus
Vicia faba
Viola odorata
Viola × wittrockiana
Vitis vinifera
Wisteria sinensis
Zea mays
Zinnia elegans
