n,source,id,observation,organe,auteur,licence,date,url,retenue,note
1,plantnet,283bfcc7bf5e8905f7f8255fb5690f0bc2976056,1026069666,leaf,KP Laer,cc-by-sa,"Mar 27, 2025",https://bs.plantnet.org/image/o/283bfcc7bf5e8905f7f8255fb5690f0bc2976056,oui,
2,plantnet,e79c7fd1ab1d675bda0428bd673358ef3e4faa4e,1016320381,leaf,green house vivero,cc-by-sa,"Jan 21, 2023",https://bs.plantnet.org/image/o/e79c7fd1ab1d675bda0428bd673358ef3e4faa4e,non,capture d'écran Facebook
3,plantnet,05a07dd01ec4b1a9956009a3a8e86323e6edaaef,1012695327,leaf,SqueakyKitty,cc-by-sa,"Mar 18, 2022",https://bs.plantnet.org/image/o/05a07dd01ec4b1a9956009a3a8e86323e6edaaef,oui,
4,plantnet,ac2ce50c70758360cccf0d1d3946953f7af5aa23,1030397061,leaf,KP Laer,cc-by-sa,"Feb 14, 2026",https://bs.plantnet.org/image/o/ac2ce50c70758360cccf0d1d3946953f7af5aa23,oui,
5,plantnet,b46b32ad5bd00fc2d0da24b6ea08cee1e0639a21,1030397061,leaf,KP Laer,cc-by-sa,"Feb 14, 2026",https://bs.plantnet.org/image/o/b46b32ad5bd00fc2d0da24b6ea08cee1e0639a21,oui,
6,plantnet,93ae3e9ac46e320cab4304a57fa8e86bac57aa56,1030347848,leaf,KP Laer,cc-by-sa,"Feb 1, 2026",https://bs.plantnet.org/image/o/93ae3e9ac46e320cab4304a57fa8e86bac57aa56,oui,
7,plantnet,116656a31bf2b5160b1463f2aacf804a56c03256,1029474617,leaf,KP Laer,cc-by-sa,"Sep 16, 2025",https://bs.plantnet.org/image/o/116656a31bf2b5160b1463f2aacf804a56c03256,non,"panachure jaune, cultivar douteux"
8,plantnet,89bb7e4ab670bd9c1e632306315fa6a1e84ddfa5,1025650247,leaf,Fabrice Rubio,cc-by-sa,"Dec 31, 2024",https://bs.plantnet.org/image/o/89bb7e4ab670bd9c1e632306315fa6a1e84ddfa5,oui,
9,plantnet,ae9cd59e0bd9c428b72d3b685d62992b5fa7195f,1025474122,leaf,Fabrice Rubio,cc-by-sa,"Dec 31, 2024",https://bs.plantnet.org/image/o/ae9cd59e0bd9c428b72d3b685d62992b5fa7195f,oui,
10,plantnet,c4ad3a77e152dc3ebd6275965fc7079210e34f0d,1020733942,leaf,Ayato Kirishima,cc-by-sa,"Dec 28, 2023",https://bs.plantnet.org/image/o/c4ad3a77e152dc3ebd6275965fc7079210e34f0d,oui,
